gene	alias	accession	uniprot_id	sporulation_stage	occurs_in	gene_from_species	stage_regulon-GalperinMY2022	Conservation-GalperinMY2022	comment
yhbB		CAB07515.1	O31589	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhcN		CAA65698.1	P54598	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhcQ		CAA65701.1	P54601	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhjR		CAA74480.1	O07572	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
yjqC		AAB87517.1	O34423	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
cotA		AAB62305.1	P07788	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
cotC		CAA29167.1	P07790	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
cotH		CAA66988.1	Q45535	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
cotI		AAC00364.1	O34656	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
cotJA		AAB17588.1	Q45536	spore_coat	some_clostridia	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
cotJB		AAB17589.1	Q45537	spore_coat	some_clostridia	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
cotM		AAC44989.1	Q45058	spore_coat	some_clostridia	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	cotP paralog
cotP		BAA19388.1	P96698	spore_coat	some_clostridia	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	cotM paralog
cotS		BAA06634.1	P46914	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
cotU		QJP88268.1	A0A6M4JGP6	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
tgl		CAB07928.1	P40746	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
yisY		CAA70654.1	O06734	spore_coat	some_clostridia	Bacillus subtilis	spo0A_regulon; mother_cell-SigE_regulon	mostly_in_Bacilli	
yknT		AAB49968.1	O31700	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
gpr		AAA22500.1	P22322	germination	all	Bacillus subtilis	mother_cell-germination	universal-firmicutes	
lgt	gerF	AAD09501.1	O34752	germination	all	Bacillus subtilis	mother_cell-germination	universal-firmicutes	
gerA		AAU19577.1	Q63FP2	germination	most_clostridia	Bacillus cereus	mother_cell-germination	universal-firmicutes	
gerB		AAU19578.1	Q63FP4	germination	most_clostridia	Bacillus cereus	mother_cell-germination	universal-firmicutes	
gerC		PYY25527.1	A0AAN2TST8	germination	most_clostridia	Paenibacillus illinoisensis	mother_cell-germination	universal-firmicutes	
gerM		CAA99553.1	P39072	germination	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
ypeB		AAC83958.1	P38490	germination	most_clostridia	Bacillus subtilis	mother_cell-germination	mostly_in_Bacilli	
ytgP		AAC00276.1	O34674	germination	most_clostridia	Bacillus subtilis	NA	NA	
spoIIIE	ftsK	AAA22784.1	P21458	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spoIIIJ	yqzJ	CAE01460.1	Q7WY64	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spoVC	pth	BAA05288.1	P37470	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spoVG		CAA44242.1	P28015	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spoVS		AAA86526.1	P45693	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
divIB		AAA22393.1	P16655	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
divIC		AAB38379.1	P37471	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
divIVA	ylmJ	AAB49279.1	P71021	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
ftsA		AAA22456.1	P28264	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
ftsE		AAC67262.1	O34814	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
ftsH		BAA05304.1	P37476	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
ftsX		AAC67264.1	O34876	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
ftsY		BAA08616.1	P51835	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
ftsZ		AAA22457.1	P17865	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
jag	eloR/khpB	CAA78596.1	Q01620	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
minC		AAA22608.1	Q01463	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
minD		AAA22609.1	Q01464	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
minJ		AAC67265.1	O34375	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
sweC		XRL89622.1	A0AC61ZZD6	NA	NA	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spo0B	spo0D	CAA26489.1	P06535	NA	NA	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
ftsL		AAC36836.1	Q07867	NA	NA	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
ricA	ymcA	QJP88207.1	A0A6M3ZAZ4	NA	NA	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
ricF	ylbF	QJP88012.1	A0A6M3ZFR1	NA	NA	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
ricT	yaaT	XRL90349.1	A0AC62A129	NA	NA	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
sda		CAE01463.1	Q7WY62	NA	NA	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
sigG	spoIIIG	CAA40771.1	P19940	NA	NA	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
spo0JA	parA	CAA44408.1	P37522	NA	NA	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
yusE		CAB15266.1	O32171	NA	NA	Bacillus subtilis	spo0A_regulon	mostly_in_Bacilli	
spoIIQ	ywnI	CAA69855.1	P71044	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAA		CAA43959.1	Q01367	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAB		AAA76721.1	Q01368	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAC		AAA76722.1	P49780	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAD		AAA76723.1	P49781	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAE		AAA76724.1	P49782	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAF		AAA76725.1	P49783	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAG		AAA76726.1	P49784	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIIAH		AAA76727.1	P49785	NA	NA	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIB		AAB59026.1	P37575	NA	NA	Bacillus subtilis	engulfment	mostly_in_Bacilli	
spoIIIL		CAB14397.2	O32020	NA	NA	Bacillus subtilis	engulfment	mostly_in_Bacilli	
spoIVB		AAA22692.1	P17896	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
spoVT		BAA05291.1	P37554	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
dacB/dacF		AAA22377.1	P35150	NA	NA	Bacillus subtilis	forespore-SigF_regulon; mother_cell-SigE_regulon	universal-firmicutes	
